key-bin-checksum,tag-serial-number,start-timestamp,longitude,latitude,height-above-ellipsoid,type-of-fix,status,used-time-to-get-fix,timestamp-of-fix,battery-voltage,fix-battery-voltage,temperature,speed-over-ground,heading-degree,speed-accuracy-estimate,horizontal-accuracy-estimate
2221130714,3521,2015-03-14 13:40:00.000,,,,0,D,120,,3656,3188,11,,,,
1336737986,3521,2015-03-14 17:40:22.000,7.8110529,52.4560878,107.1,3,A,98,2015-03-14 17:42:01.998,3671,3237,11,0.75,74.06,4.03,6.14
0275775448,3521,2015-03-16 05:59:55.000,7.8148212,52.4574827,111.1,3,A,85,2015-03-16 06:01:21.001,3652,3266,15,0.84,30.15,7.52,44.29
1038030904,3521,2015-03-16 10:02:00.000,,,,0,D,120,,3691,3227,15,,,,
2116986749,3521,2015-03-16 14:04:00.000,,,,0,D,120,,3701,3270,17,,,,
3900001479,3521,2015-03-16 18:06:00.000,,,,0,D,120,,3713,3308,25,,,,
3863934953,3521,2015-03-18 06:23:51.000,7.8152028,52.4574893,99.5,3,A,89,2015-03-18 06:25:20.998,3662,3283,16,0.63,133.04,3.40,4.61
0616981591,3521,2015-03-18 10:26:00.000,,,,0,D,120,,3730,3341,31,,,,
1465679207,3521,2015-03-18 14:28:00.000,,,,0,D,120,,3720,3344,28,,,,
3855053238,3521,2015-03-18 18:29:59.000,7.8148114,52.4575732,130.6,3,A,56,2015-03-18 18:30:56.000,3717,3345,27,0.55,355.21,5.83,7.68
2127608162,3521,2015-03-20 06:47:53.000,7.8154106,52.4576057,109.3,3,A,87,2015-03-20 06:49:20.998,3671,3264,17,0.51,320.47,5.76,21.25
0819579159,3521,2015-03-20 10:50:01.000,,,,0,B,104,2015-03-20 10:51:45.001,3675,3232,16,,,,
1520525629,3521,2015-03-20 14:51:59.000,7.8152094,52.4584638,102.5,3,A,57,2015-03-20 14:52:56.998,3718,3326,21,1.02,32.11,4.76,14.85
2569628517,3521,2015-03-22 07:11:55.000,7.8138031,52.4574404,103.0,3,A,78,2015-03-22 07:13:14.000,3682,3242,14,4.16,11.80,9.27,10.24
2442545995,3521,2015-03-22 11:14:01.000,,,,0,D,120,,3673,3271,22,,,,
2524515518,3521,2015-03-22 15:15:58.000,7.8152818,52.4582735,95.9,3,A,52,2015-03-22 15:16:51.998,3720,3330,21,0.22,13.11,2.19,3.07
1929107521,3521,2015-03-24 07:35:54.000,7.8155268,52.4572621,39.5,3,A,84,2015-03-24 07:37:19.999,3708,3330,24,1.68,21.63,6.33,23.55
0397313162,3521,2015-03-24 11:38:00.000,7.8151362,52.4581825,113.2,3,A,55,2015-03-24 11:38:56.998,3693,3365,32,0.13,38.01,5.86,12.54
3790822655,3521,2015-03-24 15:40:00.000,,,,0,D,120,,3730,3347,27,,,,
3722201236,3521,2015-03-26 07:59:54.000,7.8156255,52.4577095,77.1,3,A,55,2015-03-26 08:00:50.001,3713,3350,25,0.29,359.14,5.95,13.06
1068689302,3521,2015-03-26 12:02:00.000,7.8150703,52.4581989,92.7,3,A,80,2015-03-26 12:03:20.001,3720,3352,27,0.29,307.36,3.37,4.86
2665196249,3521,2015-03-26 16:03:59.000,7.8152661,52.4584263,99.0,3,A,45,2015-03-26 16:04:44.998,3715,3331,18,0.08,34.73,2.40,3.84
1806014906,3521,2015-03-28 04:21:56.000,7.8148476,52.4556288,93.9,3,A,34,2015-03-28 04:22:31.001,3643,3245,0,0.00,348.00,0.29,4.61
